pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a02_s1_happy_sad,2,1,happy,sad,20,-0.09375,-0.2265625,-0.2578125,-0.3671875,-0.12109375,-0.15234375,0.0234375
a02_s1_happy_sad,2,1,happy,sad,21,-1.171875,-1.8203125,-1.40625,-1.8828125,-0.5625,-0.1484375,0.171875
a02_s1_happy_sad,2,1,happy,sad,22,-1.4560546875,-0.96484375,-1.46484375,-0.650390625,0.65283203125,0.15283203125,0.3232421875
a02_s1_happy_sad,2,1,happy,sad,23,-2.88671875,-1.4609375,-2.5625,-1.25390625,1.3671875,0.265625,-0.1171875
a02_s1_happy_sad,2,1,happy,sad,24,0.09765625,-0.078125,0.595703125,0.125,-0.3232421875,0.3505859375,-0.294921875
a02_s1_happy_sad,2,1,happy,sad,25,-0.7265625,-0.625,-0.625,-0.6015625,0.0625,0.0625,-0.078125
a02_s1_happy_sad,2,1,happy,sad,26,-1.3437495231628418,-1.38525390625,-1.140625,-1.28515625,-0.0930178165435791,0.1516110897064209,-0.1030268669128418
a02_s1_happy_sad,2,1,happy,sad,27,-1.7500004768371582,-1.921875,-1.40625,-1.296875,-0.0312497615814209,0.4843752384185791,0.2812495231628418
a02_s1_happy_sad,2,1,happy,sad,28,-1.0,-1.0625,-0.9375,-0.8125,0.03125,0.15625,0.1875
a02_s1_neutral_angry,2,1,neutral,angry,0,0.951171875,0.951171875,0.951171875,0.951171875,0.0,0.0,0.0
a02_s1_neutral_angry,2,1,neutral,angry,1,0.0693359375,0.01438140869140625,0.076171875,0.016387939453125,-0.057369232177734375,0.004421234130859375,-0.00482940673828125
a02_s1_neutral_angry,2,1,neutral,angry,2,-0.376953125,-0.4599609375,-0.31640625,-0.4609375,-0.11376953125,0.02978515625,-0.0615234375
a02_s1_neutral_angry,2,1,neutral,angry,3,0.234375,0.09375,0.234375,0.03125,-0.171875,-0.03125,-0.0625
a02_s1_neutral_angry,2,1,neutral,angry,4,1.53125,1.5,1.46875,1.421875,-0.0390625,-0.0703125,-0.015625
a02_s1_neutral_angry,2,1,neutral,angry,5,0.65625,0.53125,0.59375,0.40625,-0.15625,-0.09375,-0.0625
a02_s1_neutral_angry,2,1,neutral,angry,6,-0.5625,-0.53125,-0.5625,-0.625,-0.015625,-0.046875,-0.09375
a02_s1_neutral_angry,2,1,neutral,angry,7,0.875,0.25,0.9375,0.3125,-0.625,0.0625,0.0
a02_s1_neutral_angry,2,1,neutral,angry,8,1.0,0.8125,1.0,0.78125,-0.203125,-0.015625,-0.03125
a02_s1_neutral_angry,2,1,neutral,angry,9,1.625,1.46875,1.5625,1.40625,-0.15625,-0.0625,0.0
a02_s1_neutral_angry,2,1,neutral,angry,10,0.9375,1.0625,0.75,1.0,0.1875,-0.125,0.125
a02_s1_neutral_angry,2,1,neutral,angry,11,0.96875,0.953125,0.90625,0.984375,0.03125,-0.015625,0.09375
a02_s1_neutral_angry,2,1,neutral,angry,12,-0.71875,-0.5625,-0.6875,-0.359375,0.2421875,0.1171875,0.171875
a02_s1_neutral_angry,2,1,neutral,angry,13,-0.65625,0.140625,-0.6875,0.234375,0.859375,0.03125,0.125
a02_s1_neutral_angry,2,1,neutral,angry,14,-1.2343740463256836,-0.3125,-1.3281240463256836,-0.3203125,0.9648427963256836,-0.05078125,0.0859375
a02_s1_neutral_angry,2,1,neutral,angry,15,-1.0,-0.125,-1.1953125,-0.15625,0.95703125,-0.11328125,0.1640625
