pair_id,speaker,word,label_a,label_b,file_a,file_b,AA,AB,BA,BB,ME_C,ME_D,interaction
YAF_cheek_sad_angry,YAF,cheek,sad,angry,YAF_cheek_sad.wav,YAF_cheek_angry.wav,-2.25,-1.625,-1.9375,-2.125000476837158,0.2187497615814209,-0.0937502384185791,-0.8125004768371582
YAF_chief_neutral_happy,YAF,chief,neutral,happy,YAF_chief_neutral.wav,YAF_chief_happy.wav,0.125,-0.125,0.0625,0.4375,0.0625,0.25,0.625
YAF_chief_neutral_sad,YAF,chief,neutral,sad,YAF_chief_neutral.wav,YAF_chief_sad.wav,-0.3125,-0.5,-0.4375,-0.75,-0.25,-0.1875,-0.125
YAF_chief_neutral_angry,YAF,chief,neutral,angry,YAF_chief_neutral.wav,YAF_chief_angry.wav,-0.625,-2.8125,-0.5625,-1.59375,-1.609375,0.640625,1.15625
YAF_chief_happy_sad,YAF,chief,happy,sad,YAF_chief_happy.wav,YAF_chief_sad.wav,-0.3125,0.0,-0.6875,-0.625,0.1875,-0.5,-0.25
YAF_chief_happy_angry,YAF,chief,happy,angry,YAF_chief_happy.wav,YAF_chief_angry.wav,-1.875,-1.875,-1.3125,-1.78125,-0.234375,0.328125,-0.46875
YAF_chief_sad_angry,YAF,chief,sad,angry,YAF_chief_sad.wav,YAF_chief_angry.wav,-1.5625,-1.0,-1.5,-2.59375,-0.265625,-0.765625,-1.65625
YAF_choice_neutral_happy,YAF,choice,neutral,happy,YAF_choice_neutral.wav,YAF_choice_happy.wav,-0.4375,-0.8125,-0.1875,-0.875,-0.53125,0.09375,-0.3125
YAF_choice_neutral_sad,YAF,choice,neutral,sad,YAF_choice_neutral.wav,YAF_choice_sad.wav,-0.9375,-1.5625,-0.6875,-1.21875,-0.578125,0.296875,0.09375
YAF_choice_neutral_angry,YAF,choice,neutral,angry,YAF_choice_neutral.wav,YAF_choice_angry.wav,-1.5625,-1.84375,-1.5625,-1.90625,-0.3125,-0.03125,-0.0625
YAF_choice_happy_sad,YAF,choice,happy,sad,YAF_choice_happy.wav,YAF_choice_sad.wav,-0.3125,-0.0625,0.0,-0.15625,0.046875,0.109375,-0.40625
YAF_choice_happy_angry,YAF,choice,happy,angry,YAF_choice_happy.wav,YAF_choice_angry.wav,-1.28125,-1.1875,-1.2187495231628418,-0.90625,0.2031247615814209,0.1718752384185791,0.2187495231628418
YAF_choice_sad_angry,YAF,choice,sad,angry,YAF_choice_sad.wav,YAF_choice_angry.wav,-0.9375,-1.9062504768371582,-0.9375,-1.53125,-0.7812502384185791,0.1875002384185791,0.3750004768371582
YAF_cool_neutral_happy,YAF,cool,neutral,happy,YAF_cool_neutral.wav,YAF_cool_happy.wav,0.0,-0.25,0.1875,-0.40625,-0.421875,0.015625,-0.34375
YAF_cool_neutral_sad,YAF,cool,neutral,sad,YAF_cool_neutral.wav,YAF_cool_sad.wav,-0.375,-1.0,-0.625,-0.1875,-0.09375,0.28125,1.0625
YAF_cool_neutral_angry,YAF,cool,neutral,angry,YAF_cool_neutral.wav,YAF_cool_angry.wav,-1.75,-1.8125,-1.6875,-2.625,-0.5,-0.375,-0.875
YAF_cool_happy_sad,YAF,cool,happy,sad,YAF_cool_happy.wav,YAF_cool_sad.wav,0.34375,-0.125,-0.375,-0.25,-0.171875,-0.421875,0.59375
YAF_cool_happy_angry,YAF,cool,happy,angry,YAF_cool_happy.wav,YAF_cool_angry.wav,-2.0,-1.6875,-1.71875,-2.1875,-0.078125,-0.109375,-0.78125
YAF_cool_sad_angry,YAF,cool,sad,angry,YAF_cool_sad.wav,YAF_cool_angry.wav,-1.25,-1.6875,-1.8125,-2.0,-0.3125,-0.4375,0.25
YAF_dab_neutral_happy,YAF,dab,neutral,happy,YAF_dab_neutral.wav,YAF_dab_happy.wav,-0.9375,-0.96875,-0.25,-1.625,-0.703125,0.015625,-1.34375
YAF_dab_neutral_sad,YAF,dab,neutral,sad,YAF_dab_neutral.wav,YAF_dab_sad.wav,-2.1875,-1.75,-1.0625,-1.1875,0.15625,0.84375,-0.5625
YAF_dab_neutral_angry,YAF,dab,neutral,angry,YAF_dab_neutral.wav,YAF_dab_angry.wav,-0.5625,1.125,-0.125,1.5,1.65625,0.40625,-0.0625
YAF_dab_happy_sad,YAF,dab,happy,sad,YAF_dab_happy.wav,YAF_dab_sad.wav,-0.5,-0.625,-1.03125,-0.75,0.078125,-0.328125,0.40625
YAF_dab_happy_angry,YAF,dab,happy,angry,YAF_dab_happy.wav,YAF_dab_angry.wav,1.4375,1.6874995231628418,1.4375,2.8125,0.8124997615814209,0.5625002384185791,1.1250004768371582
YAF_dab_sad_angry,YAF,dab,sad,angry,YAF_dab_sad.wav,YAF_dab_angry.wav,0.5,3.84375,0.75,3.71875,3.15625,0.0625,-0.375
YAF_date_neutral_happy,YAF,date,neutral,happy,YAF_date_neutral.wav,YAF_date_happy.wav,-0.375,-0.6875,-1.125,-1.3125004768371582,-0.2500002384185791,-0.6875002384185791,0.1249995231628418
YAF_date_neutral_sad,YAF,date,neutral,sad,YAF_date_neutral.wav,YAF_date_sad.wav,-0.90625,-0.875,-1.3125,-0.875,0.234375,-0.203125,0.40625
