pair_id,actor,statement,label_a,label_b,layer,AA,AB,BA,BB,ME_C,ME_D,interaction
a02_s1_happy_sad,2,1,happy,sad,20,0.6875,1.0,1.0,0.46875,-0.109375,-0.109375,-0.84375
a02_s1_happy_sad,2,1,happy,sad,21,1.125,1.21875,1.3125,0.84375,-0.1875,-0.09375,-0.5625
a02_s1_happy_sad,2,1,happy,sad,22,0.0625,-0.03125,0.28125,0.03125,-0.171875,0.140625,-0.15625
a02_s1_happy_sad,2,1,happy,sad,23,-0.125,-1.5,0.6874997615814209,-1.21875,-1.6406248807907104,0.5468748807907104,-0.5312497615814209
a02_s1_happy_sad,2,1,happy,sad,24,2.3125,-0.125,1.8749998807907104,0.21875,-2.0468749403953552,-0.046875059604644775,0.7812501192092896
a02_s1_happy_sad,2,1,happy,sad,25,4.6875001192092896,1.0,3.3124998807907104,0.8125,-3.09375,-0.7812501192092896,1.187500238418579
a02_s1_happy_sad,2,1,happy,sad,26,4.500000059604645,0.4375,3.5624999701976776,0.375,-3.625000014901161,-0.5000000447034836,0.8750000894069672
a02_s1_happy_sad,2,1,happy,sad,27,2.7499998807907104,-4.437500178813934,2.3749999403953552,-4.1875,-6.875,-0.06249988079071045,0.6250001192092896
a02_s1_happy_sad,2,1,happy,sad,28,1.4999999403953552,-2.25,0.8749999403953552,-1.7499998807907104,-3.1874998807907104,-0.062499940395355225,1.1250001192092896
a02_s1_neutral_angry,2,1,neutral,angry,0,0.671875,0.671875,0.671875,0.671875,0.0,0.0,0.0
a02_s1_neutral_angry,2,1,neutral,angry,1,-0.194580078125,-0.095703125,-0.1943359375,-0.115234375,0.0889892578125,-0.0096435546875,-0.019775390625
a02_s1_neutral_angry,2,1,neutral,angry,2,0.19921875,0.23046875,0.255859375,0.27587890625,0.025634765625,0.051025390625,-0.01123046875
a02_s1_neutral_angry,2,1,neutral,angry,3,0.015625,-0.015625,0.03125,0.0,-0.03125,0.015625,0.0
a02_s1_neutral_angry,2,1,neutral,angry,4,-0.671875,-0.5625,-0.65625,-0.546875,0.109375,0.015625,0.0
a02_s1_neutral_angry,2,1,neutral,angry,5,-1.109375,-1.25,-1.125,-1.25,-0.1328125,-0.0078125,0.015625
a02_s1_neutral_angry,2,1,neutral,angry,6,-0.96875,-0.953125,-1.0,-0.90625,0.0546875,0.0078125,0.078125
a02_s1_neutral_angry,2,1,neutral,angry,7,-0.1875,0.140625,-0.125,0.15625,0.3046875,0.0390625,-0.046875
a02_s1_neutral_angry,2,1,neutral,angry,8,-1.5585927963256836,-1.518798828125,-1.5429677963256836,-1.45068359375,0.0660390853881836,0.0418701171875,0.052490234375
a02_s1_neutral_angry,2,1,neutral,angry,9,-0.0234375,-1.568359375,-0.0078125,-1.529296875,-1.533203125,0.02734375,0.0234375
a02_s1_neutral_angry,2,1,neutral,angry,10,1.1922607421875,-0.1015625,1.082275390625,-0.0859375,-1.23101806640625,-0.04718017578125,0.1256103515625
a02_s1_neutral_angry,2,1,neutral,angry,11,2.25,1.375,2.24609375,1.4609375,-0.830078125,0.041015625,0.08984375
a02_s1_neutral_angry,2,1,neutral,angry,12,1.1875,0.421875,1.366943359375,0.5234375,-0.8045654296875,0.1405029296875,-0.077880859375
a02_s1_neutral_angry,2,1,neutral,angry,13,0.97265625,0.734375,1.16015625,0.921875,-0.23828125,0.1875,0.0
a02_s1_neutral_angry,2,1,neutral,angry,14,1.578125,0.25,1.890625,0.390625,-1.4140625,0.2265625,-0.171875
a02_s1_neutral_angry,2,1,neutral,angry,15,2.1953125,1.109375,2.453125,1.296875,-1.12109375,0.22265625,-0.0703125
a02_s1_neutral_angry,2,1,neutral,angry,16,1.09375,0.265625,1.359375,0.453125,-0.8671875,0.2265625,-0.078125
a02_s1_neutral_angry,2,1,neutral,angry,17,-0.09375,-0.28125,0.203125,-0.203125,-0.296875,0.1875,-0.21875
a02_s1_neutral_angry,2,1,neutral,angry,18,-1.3125,-0.59375,-1.0,-0.34375,0.6875,0.28125,-0.0625
a02_s1_neutral_angry,2,1,neutral,angry,19,-0.15625,0.828125,0.0625,0.875,0.8984375,0.1328125,-0.171875
