system,seed,conflict,generator,metric,mean,ci_low,ci_high,n
decision_adapter_layer25,20260905,True,STYLE,other,0.13141025641025642,0.09696969696969697,0.16304347826086957,312
decision_adapter_layer25,20260905,True,STYLE,acoustic_margin,1.396634614886119,1.0014245336498984,1.7674320871882712,312
full_sequence_adapter_layer22,20260903,False,COSY,acoustic_correct,0.7596153846153846,0.7040816326530612,0.8181818181818182,104
full_sequence_adapter_layer22,20260903,False,COSY,semantic_follow,0.7596153846153846,0.7040816326530612,0.8181818181818182,104
full_sequence_adapter_layer22,20260903,False,COSY,other,0.2403846153846154,0.18181818181818182,0.29591836734693877,104
full_sequence_adapter_layer22,20260903,False,COSY,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260903,False,F5TTS,acoustic_correct,0.875,0.8163265306122449,0.9387755102040817,104
full_sequence_adapter_layer22,20260903,False,F5TTS,semantic_follow,0.875,0.8163265306122449,0.9387755102040817,104
full_sequence_adapter_layer22,20260903,False,F5TTS,other,0.125,0.061224489795918366,0.1836734693877551,104
full_sequence_adapter_layer22,20260903,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260903,False,STYLE,acoustic_correct,0.8076923076923077,0.7377049180327869,0.8823529411764706,104
full_sequence_adapter_layer22,20260903,False,STYLE,semantic_follow,0.8076923076923077,0.7377049180327869,0.8823529411764706,104
full_sequence_adapter_layer22,20260903,False,STYLE,other,0.19230769230769232,0.11764705882352941,0.26229508196721313,104
full_sequence_adapter_layer22,20260903,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
full_sequence_adapter_layer22,20260903,True,COSY,acoustic_correct,0.47435897435897434,0.42628205128205127,0.5201222730471498,312
full_sequence_adapter_layer22,20260903,True,COSY,semantic_follow,0.3076923076923077,0.2547564935064935,0.37745348139255697,312
full_sequence_adapter_layer22,20260903,True,COSY,other,0.21794871794871795,0.1696969696969697,0.2578125,312
full_sequence_adapter_layer22,20260903,True,COSY,acoustic_margin,0.6688701885838945,0.16530687231341656,1.0375008913355814,312
full_sequence_adapter_layer22,20260903,True,F5TTS,acoustic_correct,0.3685897435897436,0.29583333333333334,0.42896174863387976,312
full_sequence_adapter_layer22,20260903,True,F5TTS,semantic_follow,0.4935897435897436,0.4207558518881005,0.5905797101449275,312
full_sequence_adapter_layer22,20260903,True,F5TTS,other,0.13782051282051283,0.09057971014492754,0.18027210884353742,312
full_sequence_adapter_layer22,20260903,True,F5TTS,acoustic_margin,-0.5152243542334196,-1.0983658727581012,-0.07064238732491734,312
full_sequence_adapter_layer22,20260903,True,STYLE,acoustic_correct,0.5576923076923077,0.5151515151515151,0.603030303030303,312
full_sequence_adapter_layer22,20260903,True,STYLE,semantic_follow,0.3141025641025641,0.27298850574712646,0.36486486486486486,312
full_sequence_adapter_layer22,20260903,True,STYLE,other,0.1282051282051282,0.09009009009009009,0.16091954022988506,312
full_sequence_adapter_layer22,20260903,True,STYLE,acoustic_margin,1.256009610791434,0.8775319817563563,1.593011353674099,312
